Timestamp,HR_BPM,RMSSD_MS,Raw_RR_MS,Raw_Packet_Hex,Chart_Level,Exercise_Note,Status,Battery_V
12:52:09.414,111,23.79775899813538,630,04002CC9B2CB8E6F,Ch 2 - Lvl 4,C2-Ex 1: Toe Touch,OK,
12:52:10.414,111,31.514877439076294,544,8400B2CBE0CD8F6F,Ch 2 - Lvl 4,C2-Ex 1: Toe Touch,OK,
12:52:11.415,111,29.776015702425855,550,040016D04AD2916F,Ch 2 - Lvl 4,C2-Ex 1: Toe Touch,OK,
12:52:12.415,111,39.70894105865831,573,8400E3D42ED7936F,Ch 2 - Lvl 4,C2-Ex 1: Toe Touch,OK,
12:52:13.416,111,40.32594472770376,625,04006DD9EEDB956F,Ch 2 - Lvl 4,C2-Ex 1: Toe Touch,OK,
12:52:14.417,111,39.44175672955052,627,8400EEDB71DE966F,Ch 2 - Lvl 4,C2-Ex 1: Toe Touch,OK,
12:52:15.417,111,45.13313638558703,676,0400B7E06CE3986F,Ch 2 - Lvl 4,C2-Ex 1: Toe Touch,OK,
12:52:16.418,111,45.12802301828057,631,84006CE3F3E5996F,Ch 2 - Lvl 4,C2-Ex 1: Toe Touch,OK,
12:52:17.419,111,45.32856242402324,580,040089E8DBEA9B6F,Ch 2 - Lvl 4,C2-Ex 1: Toe Touch,OK,
12:52:18.420,111,45.28339880018451,624,8400DBEA5AED9C6F,Ch 2 - Lvl 4,C2-Ex 1: Toe Touch,OK,
12:52:19.422,112,49.771893467200385,666,0400A1EF4BF29E70,Ch 2 - Lvl 4,C2-Ex 2: Sit-up,OK,
12:52:20.424,112,51.694393746591,585,8400A9F401F7A070,Ch 2 - Lvl 4,C2-Ex 2: Sit-up,OK,
12:52:21.425,107,51.81964745218714,576,040046F994FBA26B,Ch 2 - Lvl 4,C2-Ex 2: Sit-up,OK,
12:52:22.425,106,51.81465642740146,575,840094FBE1FDA36A,Ch 2 - Lvl 4,C2-Ex 2: Sit-up,OK,
12:52:23.426,104,51.85423867887289,586,04003A009302A568,Ch 2 - Lvl 4,C2-Ex 2: Sit-up,OK,
12:52:24.427,103,51.82097831094516,586,8400EC044507A767,Ch 2 - Lvl 4,C2-Ex 2: Sit-up,OK,
12:52:25.427,103,54.801522757599756,682,04001208CD0AA967,Ch 2 - Lvl 4,C2-Ex 2: Sit-up,OK,
12:52:26.428,103,55.36493350550478,622,8400680DE50FAB67,Ch 2 - Lvl 4,C2-Ex 2: Sit-up,OK,
12:52:27.429,103,53.0364220980782,591,0400E50F4312AC67,Ch 2 - Lvl 4,C2-Ex 2: Sit-up,OK,
12:52:28.429,103,53.24568948070691,582,8400DD143117AE67,Ch 2 - Lvl 4,C2-Ex 2: Sit-up,OK,
12:52:29.429,103,54.35991169970753,641,04003117C219AF67,Ch 2 - Lvl 4,C2-Ex 2: Sit-up,OK,
12:52:30.430,103,50.958400884345416,571,8400091C521EB167,Ch 2 - Lvl 4,C2-Ex 3: Back Arch,OK,
12:52:31.430,104,51.912060920035884,568,0400D7201D23B368,Ch 2 - Lvl 4,C2-Ex 3: Back Arch,OK,
12:52:32.431,104,52.00663087696043,585,84001D237525B468,Ch 2 - Lvl 4,C2-Ex 3: Back Arch,OK,
12:52:33.433,105,46.735868231052955,587,0400C827222AB669,Ch 2 - Lvl 4,C2-Ex 3: Back Arch,OK,
12:52:34.433,104,45.89831339399949,587,84007C2CD62EB868,Ch 2 - Lvl 4,C2-Ex 3: Back Arch,OK,
12:52:35.434,104,44.23175641846104,358,040030319F32BA68,Ch 2 - Lvl 4,C2-Ex 3: Back Arch,OK,
12:52:36.435,104,44.871079696207985,642,84004835DA37BC68,Ch 2 - Lvl 4,C2-Ex 3: Back Arch,OK,
12:52:37.435,104,41.117577414212924,635,0400DA37653ABD68,Ch 2 - Lvl 4,C2-Ex 3: Back Arch,OK,
12:52:38.436,104,38.80366139852056,621,8400F33C6F3FBF68,Ch 2 - Lvl 4,C2-Ex 3: Back Arch,OK,
12:52:39.436,103,38.71335864958031,610,04006F3FE041C067,Ch 2 - Lvl 4,C2-Ex 3: Back Arch,OK,
12:52:40.437,101,38.692866668605504,616,84005144C846C265,Ch 2 - Lvl 4,C2-Ex 4: Push-up,OK,
12:52:41.437,100,38.918571047943075,593,04004149A14BC464,Ch 2 - Lvl 4,C2-Ex 4: Push-up,OK,
12:52:42.437,101,41.80620313649226,669,8400FB4DA950C665,Ch 2 - Lvl 4,C2-Ex 4: Push-up,OK,
12:52:43.438,101,37.8700136128109,658,0400A9504B53C765,Ch 2 - Lvl 4,C2-Ex 4: Push-up,OK,
12:52:44.438,101,38.948684188300895,600,84004B53B255C865,Ch 2 - Lvl 4,C2-Ex 4: Push-up,OK,
12:52:45.439,101,44.41652379697106,669,04008E583C5BCA65,Ch 2 - Lvl 4,C2-Ex 4: Push-up,OK,
12:52:46.440,101,43.069710934716056,677,84003C5BF25DCB65,Ch 2 - Lvl 4,C2-Ex 4: Push-up,OK,
12:53:15.454,111,18.43815384579973,537,8400ECD012D3FE6F,Ch 2 - Lvl 4,C2-Ex 5: Run (Distance),OK,2.89
12:53:16.455,111,18.445633068841655,543,04003BD568D7006F,Ch 2 - Lvl 4,C2-Ex 5: Run (Distance),OK,2.89
12:53:17.455,110,18.443763547419042,543,840096D9C3DB026E,Ch 2 - Lvl 4,C2-Ex 5: Run (Distance),OK,2.89
12:53:18.456,110,18.410079697892638,543,0400C3DBF0DD036E,Ch 2 - Lvl 4,C2-Ex 5: Run (Distance),OK,2.89
12:53:19.457,110,19.684581748685687,581,840069E1BCE3066E,Ch 2 - Lvl 4,C2-Ex 5: Run (Distance),OK,2.89
12:53:20.457,110,20.268031563234647,555,0400BCE3F5E5076E,Ch 2 - Lvl 4,C2-Ex 5: Run (Distance),OK,2.89
12:53:21.458,110,20.268031563234647,555,8400BCE3F5E5076E,Ch 2 - Lvl 4,C2-Ex 5: Run (Distance),OK,2.89
12:53:22.458,110,20.268031563234647,555,0400BCE3F5E5076E,Ch 2 - Lvl 4,C2-Ex 5: Run (Distance),OK,2.89
12:53:23.459,110,20.268031563234647,2737,8400F5E5E8F0086E,Ch 2 - Lvl 4,C2-Ex 5: Run (Distance),OK,2.89
12:53:24.460,110,20.268031563234647,2737,0400F5E5E8F0086E,Ch 2 - Lvl 4,C2-Ex 5: Run (Distance),OK,2.89
12:53:25.460,110,20.446734837553926,539,840087F9AFFB0D6E,Ch 2 - Lvl 4,C2-Ex 5: Run (Distance),OK,2.89
12:53:26.461,111,20.447578054035205,538,0400AFFBD6FD0E6F,Ch 2 - Lvl 4,C2-Ex 5: Run (Distance),OK,2.89
12:53:27.461,111,20.443361623831795,537,8400FEFF2402106F,Ch 2 - Lvl 4,C2-Ex 5: Run (Distance),OK,2.89
12:53:28.462,112,20.46359256557008,529,0400420460061270,Ch 2 - Lvl 4,C2-Ex 5: Run (Distance),OK,2.89
12:53:29.464,113,20.329187442417997,525,84009D0AB70C1571,Ch 2 - Lvl 4,C2-Ex 5: Run (Distance),OK,2.89
12:53:30.484,113,20.33936221154473,529,0400B70CD50E1671,Ch 2 - Lvl 4,C2-Ex 5: Run (Distance),OK,2.89
12:53:31.484,114,20.346142564166293,524,8400EE1007131872,Ch 2 - Lvl 4,C2-Ex 5: Run (Distance),OK,2.89
12:53:32.485,115,20.33342754830255,522,04001D1534171A73,Ch 2 - Lvl 4,C2-Ex 5: Run (Distance),OK,2.89
12:53:33.486,115,16.360170305158594,517,840049195B1B1C73,Ch 2 - Lvl 4,C2-Ex 5: Run (Distance),OK,2.89
12:53:34.487,115,9.50136106402475,518,0400721D851F1E73,Ch 2 - Lvl 4,C2-Ex 5: Run (Distance),OK,2.89
12:53:35.488,116,9.499546268656458,514,84009421A3232074,Ch 2 - Lvl 4,C2-Ex 5: Run (Distance),OK,2.89
12:53:36.488,116,9.663297074230284,506,0400B425BB272274,Ch 2 - Lvl 4,C2-Ex 5: Run (Distance),OK,2.89
12:53:37.489,117,9.760935511976582,517,8400C629D82B2475,Ch 2 - Lvl 4,C2-Ex 5: Run (Distance),OK,2.89
12:53:38.489,117,9.775056221727374,520,0400D82BED2D2575,Ch 2 - Lvl 4,C2-Ex 5: Run (Distance),OK,2.89
12:53:39.490,115,6.890773441398989,530,8400073026322773,Ch 2 - Lvl 4,C2-Ex 5: Run (Distance),OK,2.89
12:53:40.491,113,4.030059467345963,536,04004A346F362971,Ch 2 - Lvl 4,C2-Ex 5: Run (Distance),OK,2.89
12:53:41.491,112,4.042873679229528,534,84009438B73A2B70,Ch 2 - Lvl 4,C2-Ex 5: Run (Distance),OK,2.89
12:53:42.492,113,4.242640687119285,525,0400D83CF23E2D71,Ch 2 - Lvl 4,C2-Ex 5: Run (Distance),OK,2.89
12:53:43.493,114,4.030059467345963,520,84000A411F432F72,Ch 2 - Lvl 4,C2-Ex 5: Run (Distance),OK,2.89
12:53:44.493,115,4.081074909113174,521,0400324548473173,Ch 2 - Lvl 4,C2-Ex 5: Run (Distance),OK,2.89
12:53:45.497,115,3.9084347338756364,522,84005E49754B3373,Ch 2 - Lvl 4,C2-Ex 5: Run (Distance),OK,2.89
12:53:46.498,115,3.872983346207417,525,04008B4DA54F3573,Ch 2 - Lvl 4,C2-Ex 5: Run (Distance),OK,2.89
12:53:47.499,114,3.943567437984424,531,8400C451E4533772,Ch 2 - Lvl 4,C2-Ex 5: Run (Distance),OK,2.89
12:53:48.499,113,4.164712185278462,528,0400085625583971,Ch 2 - Lvl 4,C2-Ex 5: Run (Distance),OK,2.89
12:53:49.500,113,4.059896380536042,528,84002558425A3A71,Ch 2 - Lvl 4,C2-Ex 5: Run (Distance),OK,2.89
12:53:50.501,114,3.9216463819201732,528,04005F5C7C5E3C72,Ch 2 - Lvl 4,C2-Ex 5: Run (Distance),OK,2.89
12:53:51.501,114,5.401149302982047,548,8400526184633E72,Ch 2 - Lvl 4,C2-Ex 5: Run (Distance),OK,2.89
12:53:52.502,114,5.439320444370944,544,04008463B2653F72,Ch 2 - Lvl 4,C2-Ex 5: Run (Distance),OK,2.89
12:53:53.502,113,5.442489288475671,529,8400D967F7694171,Ch 2 - Lvl 4,C2-Ex 5: Run (Distance),OK,2.89
12:53:54.503,113,7.796993231257538,547,04000A6C3B6E4371,Ch 2 - Lvl 4,C2-Ex 5: Run (Distance),OK,2.89
12:53:55.504,111,7.743740520018688,541,840067709272456F,Ch 2 - Lvl 4,C2-Ex 5: Run (Distance),OK,2.89
12:53:56.504,111,7.687876707899397,542,0400BE74EA76476F,Ch 2 - Lvl 4,C2-Ex 5: Run (Distance),OK,2.89
12:53:57.505,111,8.886254398866786,518,840047785A7A496F,Ch 2 - Lvl 4,C2-Ex 5: Run (Distance),OK,2.89
12:53:58.505,111,9.195201147225168,536,0400787C9D7E4B6F,Ch 2 - Lvl 4,C2-Ex 5: Run (Distance),OK,2.89
12:53:59.506,111,9.112325869865535,539,0400C580ED824D6F,Ch 2 - Lvl 4,C2-Ex 5: Run (Distance),OK,2.89
12:54:00.525,111,9.163270008101874,547,8400188549874F6F,Ch 2 - Lvl 4,C2-Ex 5: Run (Distance),OK,2.89
12:54:01.525,110,9.16515138991168,543,04007989A68B516E,Ch 2 - Lvl 4,C2-Ex 5: Run (Distance),OK,2.89
12:54:02.526,111,9.215803518020477,540,8400CD8DF68F536F,Ch 2 - Lvl 4,C2-Ex 5: Run (Distance),OK,2.89
12:54:03.528,111,9.172673058301095,540,04001C924594556F,Ch 2 - Lvl 4,C2-Ex 5: Run (Distance),OK,2.89
12:54:04.528,112,9.240092550663526,531,8400679687985770,Ch 2 - Lvl 4,C2-Ex 5: Run (Distance),OK,2.89
12:54:05.529,112,9.195201147225168,536,04008798AC9A5870,Ch 2 - Lvl 4,C2-Ex 5: Run (Distance),OK,2.89
12:54:06.529,112,9.198950464872198,534,8400D09CF39E5A70,Ch 2 - Lvl 4,C2-Ex 5: Run (Distance),OK,2.89
12:54:07.530,112,8.417961093133968,535,040017A13BA35C70,Ch 2 - Lvl 4,C2-Ex 5: Run (Distance),OK,2.89
12:54:08.531,112,8.310774062459007,535,84005FA583A75E70,Ch 2 - Lvl 4,C2-Ex 5: Run (Distance),OK,2.89
12:54:09.531,112,44.923690087018485,570,04000EA956AB6070,Ch 2 - Lvl 4,C2-Ex 5: Run (Distance),OK,2.89
12:54:10.532,112,47.008803284139205,650,840056ABF0AD6170,Ch 2 - Lvl 4,C2-Ex 5: Run (Distance),OK,2.89
12:54:11.533,112,51.39569282906215,629,04002FB0B4B26370,Ch 2 - Lvl 4,C2-Ex 5: Run (Distance),OK,2.89
12:54:12.533,112,53.20066113148958,555,8400EDB426B76570,Ch 2 - Lvl 4,C2-Ex 5: Run (Distance),OK,2.89
12:54:13.534,111,52.98763681437788,546,04005BB98BBB676F,Ch 2 - Lvl 4,C2-Ex 5: Run (Distance),OK,2.89
12:54:14.536,110,52.97396888388055,542,8400BBBDE7BF696E,Ch 2 - Lvl 4,C2-Ex 5: Run (Distance),OK,2.89
12:54:15.537,111,52.975596203378856,539,04000FC237C46B6F,Ch 2 - Lvl 4,C2-Ex 5: Run (Distance),OK,2.89
12:54:16.538,112,52.968761125520146,535,84005BC67FC86D70,Ch 2 - Lvl 4,C2-Ex 5: Run (Distance),OK,2.89
12:54:17.539,112,53.899971211047266,587,0400A1CAFBCC6F70,Ch 2 - Lvl 4,C2-Ex 5: Run (Distance),OK,2.89
12:54:18.539,112,54.82354138192071,533,8400FBCC1DCF7070,Ch 2 - Lvl 4,C2-Ex 5: Run (Distance),OK,2.89
12:54:19.540,112,57.66281297335398,541,040089D1B3D37270,Ch 2 - Lvl 4,C2-Ex 5: Run (Distance),OK,2.89
12:54:20.540,112,59.6001041424686,600,84002ED695D87470,Ch 2 - Lvl 4,C2-Ex 5: Run (Distance),OK,2.89
12:54:21.541,112,60.28352551299452,551,040095D8CADA7570,Ch 2 - Lvl 4,C2-Ex 5: Run (Distance),OK,2.89
12:54:22.542,112,63.06865443636635,544,840043DD71DF7770,Ch 2 - Lvl 4,C2-Ex 5: Run (Distance),OK,2.89
12:54:23.543,112,64.0775392355446,605,040071DFDDE17870,Ch 2 - Lvl 4,C2-Ex 5: Run (Distance),OK,2.89
12:54:24.543,112,65.18329593512065,548,840007E439E67A70,Ch 2 - Lvl 4,C2-Ex 5: Run (Distance),OK,2.89
12:54:25.544,111,58.95614968946748,538,040061E888EA7C6F,Ch 2 - Lvl 4,C2-Ex 5: Run (Distance),OK,2.89
12:54:26.545,112,45.56125092890775,533,8400AAECCCEE7E70,Ch 2 - Lvl 4,C2-Ex 5: Run (Distance),OK,2.89
12:54:27.545,113,40.55392323382748,529,0400E8F006F38071,Ch 2 - Lvl 4,C2-Ex 5: Run (Distance),OK,2.89
12:54:28.546,113,38.1629898344384,529,840027F545F78271,Ch 2 - Lvl 4,C2-Ex 5: Run (Distance),OK,2.89
12:54:29.546,112,38.177895753144,541,04006AF995FB8470,Ch 2 - Lvl 4,C2-Ex 5: Run (Distance),OK,2.89
12:54:30.547,111,38.1873783084014,536,8400C1FDE6FF866F,Ch 2 - Lvl 4,C2-Ex 5: Run (Distance),OK,2.89
12:54:31.548,112,38.196407124772605,533,0400060228048870,Ch 2 - Lvl 4,C2-Ex 5: Run (Distance),OK,2.89
12:54:32.549,113,38.1927958543547,529,8400480666088A71,Ch 2 - Lvl 4,C2-Ex 5: Run (Distance),OK,2.89
12:54:33.549,114,36.86602023918316,521,0400800A960C8C72,Ch 2 - Lvl 4,C2-Ex 5: Run (Distance),OK,2.89
12:54:34.550,115,32.86230415662843,519,8400AA0EBE108E73,Ch 2 - Lvl 4,C2-Ex 5: Run (Distance),OK,2.89
12:54:35.550,115,30.643106892089126,522,0400BE10D5128F73,Ch 2 - Lvl 4,C2-Ex 5: Run (Distance),OK,2.89
12:54:36.551,116,26.66199671752881,515,8400E814F8169174,Ch 2 - Lvl 4,C2-Ex 5: Run (Distance),OK,2.89
12:54:37.552,116,21.77074911989432,517,04000C191E1B9374,Ch 2 - Lvl 4,C2-Ex 5: Run (Distance),OK,2.89
12:54:38.552,117,12.591732372391458,511,8400291D351F9575,Ch 2 - Lvl 4,C2-Ex 5: Run (Distance),OK,2.89
12:54:39.553,117,12.932183856964949,476,04005B2143239775,Ch 2 - Lvl 4,C2-Ex 5: Run (Distance),OK,2.89
12:54:40.553,117,21.59980842826924,466,8400692547279975,Ch 2 - Lvl 4,C2-Ex 5: Run (Distance),OK,2.89
12:54:41.554,117,22.628940883683473,495,04004A29452B9B75,Ch 2 - Lvl 4,C2-Ex 5: Run (Distance),OK,2.89
12:54:42.555,117,26.054981653524862,468,8400632D432F9D75,Ch 2 - Lvl 4,C2-Ex 5: Run (Distance),OK,2.89
12:54:43.555,118,29.533149113356068,483,040060314F339F76,Ch 2 - Lvl 4,C2-Ex 5: Run (Distance),OK,2.89
12:54:44.556,119,33.69846000778895,515,84008C359C37A177,Ch 2 - Lvl 4,C2-Ex 5: Run (Distance),OK,2.89
12:54:45.557,119,33.68003603896835,514,0400AB39BA3BA377,Ch 2 - Lvl 4,C2-Ex 5: Run (Distance),OK,2.89
12:54:46.558,117,35.07430536092945,461,8400153FEE40A675,Ch 2 - Lvl 4,C2-Ex 5: Run (Distance),OK,2.89
12:54:47.559,118,35.23370251766692,482,0400D942C744A876,Ch 2 - Lvl 4,C2-Ex 5: Run (Distance),OK,2.89
12:54:48.559,120,35.23468119084789,484,8400BA46AA48AA78,Ch 2 - Lvl 4,C2-Ex 5: Run (Distance),OK,2.89
12:54:49.560,123,36.063162980220284,519,0400944AA84CAC7B,Ch 2 - Lvl 4,C2-Ex 5: Run (Distance),OK,2.89
12:54:50.560,123,36.5079112824453,488,84009C4E9050AE7B,Ch 2 - Lvl 4,C2-Ex 5: Run (Distance),OK,2.89
12:54:51.561,124,36.90248099312939,481,04006C525954B07C,Ch 2 - Lvl 4,C2-Ex 5: Run (Distance),OK,2.89
12:54:52.562,125,36.889396663633526,482,840043563158B27D,Ch 2 - Lvl 4,C2-Ex 5: Run (Distance),OK,2.89
12:54:53.562,125,36.579625005147896,477,04001B5A045CB47D,Ch 2 - Lvl 4,C2-Ex 5: Run (Distance),OK,2.89
12:54:54.563,125,34.979797124862685,465,8400B95D965FB67D,Ch 2 - Lvl 4,C2-Ex 5: Run (Distance),OK,2.89
12:54:55.563,125,32.74825607359984,457,04004F612363B87D,Ch 2 - Lvl 4,C2-Ex 5: Run (Distance),OK,2.89
12:54:56.564,127,32.10811477621753,458,8400F764CC66BA7F,Ch 2 - Lvl 4,C2-Ex 5: Run (Distance),OK,2.89
12:54:57.565,130,45.43126676640219,525,04000C6A266CBD82,Ch 2 - Lvl 4,C2-Ex 5: Run (Distance),OK,2.89
12:54:58.565,130,43.285738672382536,541,8400266C506EBE82,Ch 2 - Lvl 4,C2-Ex 5: Run (Distance),OK,2.89
12:54:59.566,130,44.50532707363282,470,0400F770D972C082,Ch 2 - Lvl 4,C2-Ex 5: Run (Distance),OK,2.89
12:55:00.566,131,44.520820390867264,469,8400BF74A076C283,Ch 2 - Lvl 4,C2-Ex 5: Run (Distance),OK,2.89
12:55:01.567,130,43.30724236636766,469,8400687A497CC582,Ch 2 - Lvl 4,C2-Ex 5: Run (Distance),OK,2.89
12:55:02.568,128,43.30525173216532,466,04002C7E0A80C780,Ch 2 - Lvl 4,C2-Ex 5: Run (Distance),OK,2.89
12:55:03.569,129,43.29888108771722,463,8400EA81C583C981,Ch 2 - Lvl 4,C2-Ex 5: Run (Distance),OK,2.89
12:55:04.569,128,42.25415711031813,469,0400A7858887CB80,Ch 2 - Lvl 4,C2-Ex 5: Run (Distance),OK,2.89
